iter	Passed	Remaining
0	159	159263
1	165	82474
2	176	58506
3	186	46499
4	194	38643
5	199	33061
6	204	28957
7	208	25842
8	212	23346
9	215	21334
10	218	19643
11	221	18233
12	224	17020
13	226	15941
14	228	15025
15	231	14212
16	233	13496
17	235	12856
18	237	12280
19	240	11760
20	242	11288
21	244	10859
22	246	10469
23	248	10105
24	250	9776
25	252	9472
26	254	9183
27	256	8913
28	258	8663
29	260	8434
30	262	8219
31	264	8009
32	266	7810
33	268	7631
34	270	7463
35	272	7306
36	274	7155
37	277	7013
38	279	6877
39	281	6750
40	283	6637
41	285	6522
42	288	6412
43	290	6306
44	292	6204
45	294	6107
46	296	6015
47	298	5930
48	301	5845
49	303	5762
50	305	5683
51	307	5607
52	309	5534
53	311	5464
54	314	5396
55	316	5331
56	318	5267
57	320	5206
58	322	5146
59	324	5082
60	326	5026
61	328	4973
62	330	4921
63	333	4870
64	335	4821
65	337	4774
66	339	4727
67	341	4682
68	344	4646
69	347	4611
70	349	4575
71	351	4535
72	354	4495
73	356	4455
74	358	4418
75	360	4384
76	362	4350
77	365	4315
78	367	4281
79	369	4247
80	371	4214
81	373	4183
82	375	4144
83	377	4116
84	379	4087
85	381	4058
86	383	4029
87	386	4001
88	388	3976
89	390	3950
90	392	3925
91	395	3899
92	397	3873
93	399	3849
94	401	3824
95	403	3801
96	405	3778
97	408	3755
98	410	3733
99	412	3710
100	414	3689
101	416	3667
102	418	3642
103	420	3621
104	421	3594
105	423	3575
106	426	3556
107	428	3537
108	430	3518
109	432	3500
110	434	3482
111	436	3464
112	439	3446
113	440	3426
114	443	3409
115	445	3392
116	447	3376
117	449	3360
118	451	3344
119	453	3328
120	456	3312
121	458	3297
122	460	3282
123	462	3266
124	464	3252
125	466	3237
126	468	3223
127	471	3209
128	473	3195
129	475	3181
130	477	3168
131	480	3156
132	482	3143
133	484	3129
134	486	3116
135	488	3103
136	490	3091
137	493	3079
138	495	3067
139	496	3051
140	498	3039
141	501	3027
142	503	3016
143	505	3004
144	508	2995
145	510	2985
146	512	2975
147	515	2964
148	517	2954
149	519	2945
150	522	2935
151	524	2925
152	526	2916
153	529	2907
154	531	2898
155	534	2890
156	536	2882
157	539	2872
158	541	2862
159	543	2853
160	545	2843
161	547	2833
162	549	2824
163	552	2814
164	554	2804
165	556	2798
166	559	2789
167	561	2781
168	563	2772
169	565	2763
170	568	2755
171	570	2746
172	572	2737
173	574	2728
174	577	2720
175	579	2711
176	581	2704
177	583	2696
178	586	2687
179	588	2679
180	590	2671
181	592	2662
182	594	2654
183	597	2647
184	599	2640
185	601	2632
186	603	2624
187	605	2616
188	608	2609
189	610	2601
190	612	2593
191	614	2587
192	616	2579
193	619	2572
194	621	2564
195	623	2556
196	625	2549
197	627	2542
198	630	2537
199	632	2530
200	634	2523
201	636	2515
202	639	2508
203	641	2501
204	643	2494
205	645	2489
206	648	2482
207	650	2475
208	652	2468
209	654	2462
210	656	2455
211	658	2448
212	661	2444
213	664	2439
214	666	2432
215	668	2427
216	671	2421
217	673	2415
218	675	2408
219	677	2403
220	680	2397
221	682	2390
222	684	2384
223	686	2378
224	688	2371
225	690	2365
226	693	2360
227	695	2354
228	697	2348
229	699	2342
230	701	2336
231	704	2330
232	706	2324
233	708	2319
234	710	2314
235	713	2308
236	715	2302
237	717	2296
238	719	2290
239	721	2285
240	725	2284
241	728	2281
242	730	2275
243	732	2270
244	734	2264
245	737	2258
246	739	2253
247	741	2249
248	743	2243
249	746	2238
250	748	2232
251	750	2227
252	752	2221
253	754	2216
254	757	2211
255	759	2206
256	761	2201
257	763	2195
258	765	2190
259	767	2185
260	769	2180
261	772	2175
262	774	2170
263	776	2165
264	778	2159
265	780	2154
266	783	2149
267	785	2144
268	787	2139
269	789	2135
270	791	2130
271	793	2124
272	795	2119
273	798	2114
274	800	2109
275	802	2104
276	805	2101
277	807	2096
278	809	2092
279	811	2087
280	813	2082
281	815	2077
282	818	2072
283	820	2068
284	822	2064
285	824	2059
286	827	2054
287	829	2049
288	831	2045
289	833	2040
290	835	2036
291	838	2031
292	840	2027
293	842	2022
294	844	2017
295	846	2013
296	848	2008
297	851	2004
298	853	2000
299	855	1996
300	857	1991
301	859	1987
302	861	1982
303	864	1978
304	866	1974
305	868	1970
306	870	1966
307	873	1961
308	875	1957
309	877	1953
310	879	1948
311	881	1944
312	884	1940
313	886	1936
314	888	1932
315	890	1927
316	892	1923
317	894	1919
318	897	1915
319	899	1911
320	901	1907
321	903	1903
322	906	1898
323	908	1894
324	910	1890
325	912	1886
326	914	1882
327	917	1878
328	919	1874
329	921	1870
330	923	1866
331	925	1862
332	927	1858
333	930	1854
334	932	1851
335	934	1847
336	936	1843
337	939	1839
338	941	1835
339	943	1831
340	945	1827
341	948	1823
342	950	1820
343	952	1816
344	954	1812
345	956	1808
346	958	1804
347	961	1801
348	963	1797
349	966	1794
350	968	1790
351	970	1786
352	972	1782
353	974	1779
354	977	1775
355	979	1771
356	981	1768
357	983	1764
358	985	1760
359	988	1756
360	990	1752
361	992	1748
362	995	1746
363	997	1742
364	999	1738
365	1001	1734
366	1003	1731
367	1005	1727
368	1007	1723
369	1010	1720
370	1012	1716
371	1014	1712
372	1016	1709
373	1018	1705
374	1021	1701
375	1023	1698
376	1025	1694
377	1027	1691
378	1030	1687
379	1032	1683
380	1034	1680
381	1036	1676
382	1038	1673
383	1040	1669
384	1042	1665
385	1045	1662
386	1047	1658
387	1049	1655
388	1051	1651
389	1053	1647
390	1055	1644
391	1058	1641
392	1060	1637
393	1062	1634
394	1064	1630
395	1066	1627
396	1069	1623
397	1071	1620
398	1074	1618
399	1076	1614
400	1078	1611
401	1080	1607
402	1083	1604
403	1085	1601
404	1087	1597
405	1090	1594
406	1092	1591
407	1094	1587
408	1096	1584
409	1098	1580
410	1100	1577
411	1102	1573
412	1105	1570
413	1108	1568
414	1110	1565
415	1113	1562
416	1115	1559
417	1117	1555
418	1119	1552
419	1121	1549
420	1123	1545
421	1126	1542
422	1128	1538
423	1130	1535
424	1132	1532
425	1134	1528
426	1137	1526
427	1139	1522
428	1141	1519
429	1143	1516
430	1145	1512
431	1147	1509
432	1150	1505
433	1152	1503
434	1154	1499
435	1156	1496
436	1158	1493
437	1160	1488
438	1162	1485
439	1164	1482
440	1166	1479
441	1169	1476
442	1171	1472
443	1173	1469
444	1175	1466
445	1177	1462
446	1179	1459
447	1181	1456
448	1184	1453
449	1186	1450
450	1188	1447
451	1190	1443
452	1193	1440
453	1195	1437
454	1197	1434
455	1199	1430
456	1201	1427
457	1203	1424
458	1206	1421
459	1208	1418
460	1210	1415
461	1212	1411
462	1214	1408
463	1216	1405
464	1219	1402
465	1221	1399
466	1223	1396
467	1225	1392
468	1227	1389
469	1229	1386
470	1231	1383
471	1234	1380
472	1236	1377
473	1238	1374
474	1240	1371
475	1242	1367
476	1244	1364
477	1247	1362
478	1249	1359
479	1251	1356
480	1253	1352
481	1256	1349
482	1258	1346
483	1260	1343
484	1262	1341
485	1265	1337
486	1267	1334
487	1269	1331
488	1271	1328
489	1273	1325
490	1275	1322
491	1277	1319
492	1280	1316
493	1282	1313
494	1284	1310
495	1286	1307
496	1288	1304
497	1290	1301
498	1292	1298
499	1295	1295
500	1297	1292
501	1299	1289
502	1301	1286
503	1303	1283
504	1305	1279
505	1307	1276
506	1310	1273
507	1312	1271
508	1314	1268
509	1316	1265
510	1318	1262
511	1320	1259
512	1323	1256
513	1325	1253
514	1327	1250
515	1329	1247
516	1331	1244
517	1334	1241
518	1336	1238
519	1338	1235
520	1340	1232
521	1342	1229
522	1345	1226
523	1347	1223
524	1349	1220
525	1351	1217
526	1353	1214
527	1355	1212
528	1357	1209
529	1360	1206
530	1362	1203
531	1364	1200
532	1366	1197
533	1368	1194
534	1370	1191
535	1372	1188
